Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09294,1848-09-13,06:19:25,7,125,T,T+,0.0922,2.6776,1.6997,328.8,215.4,98.6,-4,-96,-3827852706000,-3827849304000,-3827845800000,-3827842842000,-3827839884000,-3827836380000,-3827832978000
09295,1849-03-09,00:55:49,7,130,P,P,0.598,1.7804,0.7414,325.6,180.6,0,5,-11,-3812579226000,-3812574876000,,-3812569458000,,-3812564040000,-3812559690000
09296,1849-09-02,17:10:17,7,135,P,P,-0.6806,1.6238,0.5945,317.9,166.6,0,-8,103,-3797227727000,-3797223188000,,-3797218190000,,-3797213192000,-3797208653000
09297,1850-01-28,01:06:06,7,102,N,N,-1.4175,0.2442,-0.7305,130.4,0,0,17,-13,-3784492753000,,,-3784488841000,,,-3784484929000
09298,1850-02-26,11:48:11,7,140,N,N,1.2587,0.542,-0.4453,192.8,0,0,10,-173,-3781950500000,,,-3781944716000,,,-3781938932000
09299,1850-07-24,05:40:16,7,107,N,N,1.3933,0.3371,-0.7337,175.7,0,0,-19,-84,-3769184862000,,,-3769179591000,,,-3769174320000
09300,1850-08-22,20:54:59,7,145,N,N,-1.4679,0.1997,-0.8704,136.1,0,0,-13,47,-3766623191000,,,-3766619108000,,,-3766615025000
09301,1851-01-17,16:50:47,7,112,P,P,-0.766,1.4406,0.4642,280,139.5,0,20,110,-3753854960000,-3753850745000,,-3753846560000,,-3753842375000,-3753838160000
09302,1851-07-13,07:21:41,7,117,P,P,0.6154,1.7508,0.7069,333.6,182.3,0,-21,-109,-3738597914000,-3738593375000,,-3738587906000,,-3738582437000,-3738577898000
09303,1852-01-07,06:10:44,7,122,T,T-,-0.0991,2.6863,1.6663,339.6,218.2,98.3,22,-91,-3723223151000,-3723219509000,-3723215912000,-3723212963000,-3723210014000,-3723206417000,-3723202775000
09304,1852-07-01,15:26:13,7,127,T,T-,-0.1799,2.5227,1.533,335.9,217.4,94.6,-23,129,-3707983311000,-3707979756000,-3707976072000,-3707973234000,-3707970396000,-3707966712000,-3707963157000
09305,1852-12-26,13:03:06,7,132,P,P,0.6203,1.7588,0.6815,336.5,179.3,0,24,164,-3692612716000,-3692608000000,,-3692602621000,,-3692597242000,-3692592526000
09306,1853-06-21,06:01:48,7,137,P,P,-0.9146,1.1535,0.2056,257.8,96.7,0,-24,-90,-3677342833000,-3677338000000,,-3677335099000,,-3677332198000,-3677327365000
09307,1853-12-15,13:18:43,7,142,N,N,1.3186,0.4917,-0.6138,211,0,0,24,159,-3662022414000,,,-3662016084000,,,-3662009754000
09308,1854-05-12,15:46:09,7,109,P,P,0.8919,1.2035,0.2389,266,105,0,-17,123,-3649228018000,-3649223188000,,-3649220038000,,-3649216888000,-3649212058000
09309,1854-11-04,21:12:48,7,114,P,P,-0.9707,1.1004,0.0537,278.9,54.3,0,15,38,-3634002406000,-3633995668000,,-3633994039000,,-3633992410000,-3633985672000
09310,1855-05-02,04:05:23,7,119,T,T+,0.1625,2.569,1.5509,346.1,221.5,96.5,-15,-62,-3618600467000,-3618596729000,-3618592979000,-3618590084000,-3618587189000,-3618583439000,-3618579701000
09311,1855-10-25,07:29:40,7,124,T,T-,-0.2177,2.4527,1.4643,327,210.8,88.7,12,-116,-3603381237000,-3603377751000,-3603374088000,-3603371427000,-3603368766000,-3603365103000,-3603361617000
09312,1856-04-20,09:06:46,7,129,P,P,-0.6068,1.7799,0.7098,342.3,185.1,0,-12,-137,-3587996670000,-3587991954000,,-3587986401000,,-3587980848000,-3587976132000
09313,1856-10-13,22:54:33,7,134,P,P,0.4809,1.9545,0.996,302.7,186.2,0,9,13,-3572739415000,-3572735920000,,-3572730334000,,-3572724748000,-3572721253000
09314,1857-04-09,09:13:19,7,139,N,N,-1.3347,0.4503,-0.6318,201,0,0,-9,-138,-3557406438000,,,-3557400408000,,,-3557394378000
09315,1857-09-04,05:22:14,7,106,N,N,-1.4376,0.2148,-0.7748,127.6,0,0,-8,-80,-3544630901000,,,-3544627073000,,,-3544623245000
09316,1857-10-03,14:56:57,7,144,N,N,1.1914,0.6585,-0.315,208.4,0,0,5,132,-3542093242000,,,-3542086990000,,,-3542080738000
